Combination,Pattern
FFFFFFFF,[A-F]{8}
FFFFFFF9,[A-F]{7}\d
FFFFFF9F,[A-F]{6}\d[A-F]
FFFFFF99,[A-F]{6}\d{2}
FFFFF9FF,[A-F]{5}\d[A-F]{2}
FFFFF9F9,[A-F]{5}\d[A-F]\d
FFFFF99F,[A-F]{5}\d{2}[A-F]
FFFFF999,[A-F]{5}\d{3}
FFFF9FFF,[A-F]{4}\d[A-F]{3}
FFFF9FF9,[A-F]{4}\d[A-F]{2}\d
FFFF9F9F,[A-F]{4}\d[A-F]\d[A-F]
FFFF9F99,[A-F]{4}\d[A-F]\d{2}
FFFF99FF,[A-F]{4}\d{2}[A-F]{2}
FFFF99F9,[A-F]{4}\d{2}[A-F]\d
FFFF999F,[A-F]{4}\d{3}[A-F]
FFFF9999,[A-F]{4}\d{4}
FFF9FFFF,[A-F]{3}\d[A-F]{4}
FFF9FFF9,[A-F]{3}\d[A-F]{3}\d
FFF9FF9F,[A-F]{3}\d[A-F]{2}\d[A-F]
FFF9FF99,[A-F]{3}\d[A-F]{2}\d{2}
FFF9F9FF,[A-F]{3}\d[A-F]\d[A-F]{2}
FFF9F9F9,[A-F]{3}\d[A-F]\d[A-F]\d
FFF9F99F,[A-F]{3}\d[A-F]\d{2}[A-F]
FFF9F999,[A-F]{3}\d[A-F]\d{3}
FFF99FFF,[A-F]{3}\d{2}[A-F]{3}
FFF99FF9,[A-F]{3}\d{2}[A-F]{2}\d
FFF99F9F,[A-F]{3}\d{2}[A-F]\d[A-F]
FFF99F99,[A-F]{3}\d{2}[A-F]\d{2}
FFF999FF,[A-F]{3}\d{3}[A-F]{2}
FFF999F9,[A-F]{3}\d{3}[A-F]\d
FFF9999F,[A-F]{3}\d{4}[A-F]
FFF99999,[A-F]{3}\d{5}
FF9FFFFF,[A-F]{2}\d[A-F]{5}
FF9FFFF9,[A-F]{2}\d[A-F]{4}\d
FF9FFF9F,[A-F]{2}\d[A-F]{3}\d[A-F]
FF9FFF99,[A-F]{2}\d[A-F]{3}\d{2}
FF9FF9FF,[A-F]{2}\d[A-F]{2}\d[A-F]{2}
FF9FF9F9,[A-F]{2}\d[A-F]{2}\d[A-F]\d
FF9FF99F,[A-F]{2}\d[A-F]{2}\d{2}[A-F]
FF9FF999,[A-F]{2}\d[A-F]{2}\d{3}
FF9F9FFF,[A-F]{2}\d[A-F]\d[A-F]{3}
FF9F9FF9,[A-F]{2}\d[A-F]\d[A-F]{2}\d
FF9F9F9F,[A-F]{2}\d[A-F]\d[A-F]\d[A-F]
FF9F9F99,[A-F]{2}\d[A-F]\d[A-F]\d{2}
FF9F99FF,[A-F]{2}\d[A-F]\d{2}[A-F]{2}
FF9F99F9,[A-F]{2}\d[A-F]\d{2}[A-F]\d
FF9F999F,[A-F]{2}\d[A-F]\d{3}[A-F]
FF9F9999,[A-F]{2}\d[A-F]\d{4}
FF99FFFF,[A-F]{2}\d{2}[A-F]{4}
FF99FFF9,[A-F]{2}\d{2}[A-F]{3}\d
FF99FF9F,[A-F]{2}\d{2}[A-F]{2}\d[A-F]
FF99FF99,[A-F]{2}\d{2}[A-F]{2}\d{2}
FF99F9FF,[A-F]{2}\d{2}[A-F]\d[A-F]{2}
FF99F9F9,[A-F]{2}\d{2}[A-F]\d[A-F]\d
FF99F99F,[A-F]{2}\d{2}[A-F]\d{2}[A-F]
FF99F999,[A-F]{2}\d{2}[A-F]\d{3}
FF999FFF,[A-F]{2}\d{3}[A-F]{3}
FF999FF9,[A-F]{2}\d{3}[A-F]{2}\d
FF999F9F,[A-F]{2}\d{3}[A-F]\d[A-F]
FF999F99,[A-F]{2}\d{3}[A-F]\d{2}
FF9999FF,[A-F]{2}\d{4}[A-F]{2}
FF9999F9,[A-F]{2}\d{4}[A-F]\d
